Date,Day Code,Time,Event Code,Event,Round/Heat,Class,Format,Style,Duration,Location,GM,Change Date,BGG_ID,BGG_Name,BGG_Rank,BGG_Rating
First Friday,,,,,,,,,,,,,,,,
7/26/26,FSu,19,VIP,Victory in the Pacific,Round 3/5,B,SwEl,Continuous,5,Snowflake,"Drozd, Ted",,1442.0,Victory in the Pacific,2658.0,7.23988
7/26/26,FSu,20,AMR,Amun Re,Heat 2/3,B,HMW-P,Scheduled,2,Timberstone,"Freeman, Eric",,5404.0,Amun-Re,603.0,7.28237
7/26/26,FSu,20,MED,Medici,Heat 2/3,C,HWO,Scheduled,2,Seasons,"Cornett, Jeff",,46.0,Medici,720.0,7.18975
7/26/26,FSu,20,PGD,Power Grid,Heat 1/3,A,HMW-P,Scheduled,3,Grand Ballroom,"Munson, Mike",,2651.0,Power Grid,73.0,7.79924
7/26/26,FSu,20,QGB,Star Wars: Queen's Gambit,Heat 1/3,B,HWO,Scheduled,2,First Tracks Center,"Kizer, Chris",,939.0,Star Wars: The Queen's Gambit,1306.0,7.58254
7/26/26,FSu,20,AGE,Through the Ages,Heat 1/2,A,HMW-P,Scheduled,4,Sunburst,"Buehler, Randy",,182028.0,Through the Ages: A New Story of Civilization,18.0,8.24687
7/26/26,FSu,20,AGR,Agricola,Semifinal,A,HMW-P,Scheduled,3,Sunburst,"Sperling, Lumin",,31260.0,Agricola,64.0,7.85744
7/26/26,FSu,20,CTN,Catan,Semifinal,B,HMW-P,Scheduled,2,Laurel,"Gitzen II, John",,13.0,Catan,620.0,7.09041
7/26/26,FSu,21,TWS,Twilight Struggle,Demo 1/1,--,--,---,1,Exhibit Hall Annex #2,"MacInnis, Randall",,12333.0,Twilight Struggle,14.0,8.22908
7/26/26,FSu,22,7WD,7 Wonders Duel,Heat 1/2,B,HWO,Scheduled,2,Seasons,"Maguire, Patrick",,173346.0,7 Wonders Duel,24.0,8.07646
7/26/26,FSu,22,IVH,Ivanhoe,Heat 2/3,B,HMW-P,Scheduled,2,Timberstone,"Roeper, Barb",,883.0,Ivanhoe,3330.0,6.5409
7/26/26,FSu,22,THA,Thunder Alley,Heat 2/3,B,HMW-T,Scheduled,3,Timberstone,"Collins II, Curt",,108906.0,Thunder Alley,1164.0,7.28395
7/26/26,FSu,22,CTN,Catan,Final,B,HMW-P,Scheduled,2,Laurel,"Gitzen II, John",,13.0,Catan,620.0,7.09041
7/26/26,FSu,23,FL7,Flip 7,Round 1/1,B,SE,Continuous,1,Grand Ballroom,"Warrender, Kevin",,420087.0,Flip 7,517.0,7.21468
7/26/26,FSu,24,--,Open Gaming Library Closes,--,--,--,--,--,Exhibit Hall,"Buckwalter, Scott",,,,,
7/26/26,FSu,24,FL7,Flip 7,Semifinal,B,SE,Continuous,1,Grand Ballroom,"Warrender, Kevin",,420087.0,Flip 7,517.0,7.21468
Monday,,,,,,,,,,,,,,,,
7/27/26,Mo,1,FL7,Flip 7,Final,B,SE,Continuous,1,Grand Ballroom,"Warrender, Kevin",,420087.0,Flip 7,517.0,7.21468
7/27/26,Mo,7:30,--,Yoga for all levels,--,--,--,--,0.75,Ski Lodge Deck,"Lewis, Jeff",,,,,
7/27/26,Mo,8,--,Registration,--,--,--,--,12,Stag Pass,"Gutermuth, Ken",,,,,
7/27/26,Mo,9,--,Open Gaming,--,--,--,--,15,Exhibit Hall,"Buckwalter, Scott",,,,,
7/27/26,Mo,9,--,Open Gaming Library Opens,--,--,--,--,15,Exhibit Hall,"Buckwalter, Scott",,,,,
7/27/26,Mo,9,--,Love Letter Juniors,--,C,Jr SE,--,2,Hemlock,"Evinger, Elizabeth",,,,,
7/27/26,Mo,9,AOR,Age of Renaissance,Demo 1/1,--,--,---,1,Exhibit Hall Annex #7,"Spencer, Jay",,26.0,Age of Renaissance,2086.0,7.09069
7/27/26,Mo,9,IMS,Imperial Struggle,Demo 1/1,--,--,---,1,Exhibit Hall Annex #3,"Drueding, Tom",,206480.0,Imperial Struggle,479.0,8.21803
7/27/26,Mo,9,TTR,Ticket To Ride,Demo 1/1,--,--,---,1,Exhibit Hall Annex #5,"Grey, Katie",,9209.0,Ticket to Ride,262.0,7.38555
7/27/26,Mo,9,AFK,Afrika Korps,Round 3/7,A,SwEl,Freeform,7,Winterberry,"Sinigaglio, Bruno",,2259.0,Afrika Korps,6191.0,6.30701
7/27/26,Mo,9,ABN,Air Baron,Heat 2/4,B,HMW-P,Scheduled,3,Dogwood,"Jamelli, Max",,76.0,Air Baron,6201.0,6.40163
7/27/26,Mo,9,AZL,Azul,Heat 2/3,B,HMW-P,Scheduled,1,Seasons,"Speaker, Eric",,230802.0,Azul,99.0,7.71442
